Business Name,Business Type,Physical Address,Mailing Address,Telephone,Fax,Operation Status,USDOT Number,MC Number,Out of Service Date,Entity Type,Legal Name,Bussiness Since,Total Trucks,Total Drivers,Carrier Operation,Hazardous Material,MCS-150 Mileage Year,MCS-150 DATE,MCS-150 MILEAGE,Cargo Hauled,Operation Classification
FENN FARMS            ,Trucking Companies Company                        ,"116 PARK DRABBEVILLE, AL   36310                    ","116 PARK DRABBEVILLE, AL   36310                    ",,,Active,1823347,,None,Carrier,FENN FARMS,22-OCT-08,1,"1
",Intrastate Non-Hazmat,No,2008,22-OCT-08,479000,"Grain, Feed, Hay - Commodities Dry Bulk - ",Exempt For Hire - Private(Property) - 
FLORENCE CORBITT            ,Trucking Companies Company                        ,5142 CO RD 25ABBEVILLE AL 36310                    ,"5142 CO RD 25,Abbeville, AL, 36310                    ",(334) 585-0604,,,1609218,MC-675717,None,Carrier,FLORENCE CORBITT,,,,,,,,,,
FREDDIE C RUSSAW            ,Trucking Companies Company                        ,"200 RACETRACK ROADABBEVILLE, AL   36310                    ","PO BOX 203ABBEVILLE, AL   36310                    ",(334) 441-5900,,Active,2030281,,None,Carrier,FREDDIE C RUSSAW,05-MAY-10,1,"1
",Interstate,No,2019,03-JAN-20,56700,"Logs, Poles, Beams, Lumber - ",Exempt For Hire - 
FREDERICK JEROME CARTER            ,Trucking Companies Company                        ,"416 COLUMBIA RDABBEVILLE, AL   36310-2714                    ","416 COLUMBIA RDABBEVILLE, AL   36310-2714                    ",(334) 441-6689,(334) 585-0032,Active,3349302,,None,Carrier,FREDERICK JEROME CARTER,22-OCT-19,1,"1
",Interstate,No,,12-MAY-20,,General Freight - ,Auth. For Hire - Exempt For Hire - 
GREENBUSH LOGISTICS INCORPORATED            ,Trucking Companies Company                        ,125 KIRKLAND STREETABBEVILLE AL 36310                    ,"P O BOX 638ABBEVILLE, AL   36310                    ",(334) 585-0069,(334) 585-3581,Authorized For Property,159292,MC-514369,None,Carrier,GREENBUSH LOGISTICS INCORPORATED,01-JUN-74,217,"195
",Interstate,No,2018,01-APR-19,14145334,"General Freight - Metal: sheets, coils, rolls - Logs, Poles, Beams, Lumber - Building Materials - Machinery, Large Objects - Intermodal Cont. - Oilfield Equipment - Utilities - ",Auth. For Hire - 
"GREENBUSH LOGISTICS, INCORPORATED            ",Trucking Companies Company                                Freight Brokers ,125 KIRKLAND STREETABBEVILLE AL 36310                    ,"P O BOX 638ABBEVILLE, AL   36310                    ",(334) 585-0069,,Authorized For Property,159292,MC-514369,None,Carrier,"GREENBUSH LOGISTICS, INCORPORATED",,217,195,Interstate,,2018,04/01/2019,"14,145,334","General Freight - Metal: sheets, coils, rolls - Logs, Poles, Beams, Lumber - Building Materials - Machinery, Large Objects - Intermodal Cont. - Oilfield Equipment - Utilities - ",Auth. For Hire - 
"H & W EXPRESS, INC.            ",Trucking Companies Company                        ,"RT. 1, BOX 282ABBEVILLE AL 36310                    ","RT. 1, BOX 282,Abbeville, AL, 36310                    ",(334) 585-2078,,,871886,MC-381576,None,Carrier,"H & W EXPRESS, INC.",,,,,,,,,,
HARDRIDER INC            ,Trucking Companies Company                        ,303 BLAND AVE ABBEVILLE AL 36310                    ,"303 BLAND AVEABBEVILLE, AL   36310                    ",(334) 693-2007,(334) 693-2024,Not Authorized,826196,MC-829711,None,Carrier,HARDRIDER INC,02-SEP-99,1,"1
",Interstate,No,2019,08-JUL-19,13002,"Logs, Poles, Beams, Lumber - ",Auth. For Hire - 
HERNDON OIL CORP            ,Trucking Companies Company                        ,"102 N COURT SQUAREABBEVILLE, AL   36310                    ","102 N COURT SQUAREABBEVILLE, AL   36310                    ",,,Active,92489,,None,Carrier,HERNDON OIL CORP,01-JUN-74,2,"2
",Interstate,No,2015,06-JUL-20,12000,Liquids/Gases - Utilities - ,Private(Property) - 
HUGHES TREE AND CLEARING COMPANY            ,Trucking Companies Company                        ,"3827 COUNTY ROAD 46ABBEVILLE, AL   36310-6324                    ","3827 COUNTY ROAD 46ABBEVILLE, AL   36310-6324                    ",,,Active,2940601,,None,Carrier,HUGHES TREE AND CLEARING COMPANY,24-OCT-16,1,"4
",Intrastate Non-Hazmat,No,,24-OCT-16,,"General Freight - Logs, Poles, Beams, Lumber - Agricultural/Farm Supplies - ",Auth. For Hire - Private(Property) - 
JAMES K LOVETT            ,Trucking Companies Company                        ,"325 COUNTY ROAD 57 NORTHABBEVILLE, AL   36310                    ","325 COUNTY ROAD 57 NORTHABBEVILLE, AL   36310                    ",,,Active,1707703,,None,Carrier,JAMES K LOVETT,13-NOV-07,1,"1
",Interstate,No,2018,31-MAR-20,1400,TOOLS - ,Private(Property) - 
JAMES KELLEY            ,Trucking Companies Company                        ,111 WEEPING WILLOW RD ABBEVILLE AL 36310                    ,"111 WEEPING WILLOW RDABBEVILLE, AL   36310                    ",(334) 435-2581,,Not Authorized,2871091,MC-966913,None,Carrier,JAMES KELLEY,28-MAR-16,1,"1
",Interstate,No,2017,12-FEB-18,26854,"Metal: sheets, coils, rolls - Logs, Poles, Beams, Lumber - Building Materials - ",Auth. For Hire - 
JEFFREY A GADDY            ,Trucking Companies Company                        ,528 OZARK ROADABBEVILLE AL 36310                    ,"528 OZARK ROADABBEVILLE, AL   36310                    ",(334) 313-3574,,Not Authorized,1497514,MC-643098,None,Carrier,JEFFREY A GADDY,04-MAY-06,1,"1
",Intrastate Non-Hazmat,No,2008,15-MAY-08,100000,SAND AND GRAVEL - ,Auth. For Hire - 
JEREMY RASHAD FLUCKER            ,Trucking Companies Company                        ,337 COUNTY ROAD 59 ABBEVILLE AL 36310                    ,"PO BOX 115ABBEVILLE, AL   36310                    ",(334) 441-8014,,,2569899,MC-897903,None,Carrier,JEREMY RASHAD FLUCKER,07-JAN-15,1,"1
",Interstate,No,2017,29-SEP-17,882471,General Freight - PEANUTS - ,Auth. For Hire - 
JERRY BLOUNT FORESTRY AND CONSTRUCTION INC            ,Trucking Companies Company                        ,4484 STATE HWY 95 SOUTHABBEVILLE AL 36310                    ,"4484 STATE HWY 95 SOUTHABBEVILLE, AL   36310                    ",(334) 585-2540,(334) 585-2540,Authorized For Property,274037,MC-718268,None,Carrier,JERRY BLOUNT FORESTRY AND CONSTRUCTION INC,05-JUN-86,8,"8
",Interstate,No,2018,11-SEP-19,260000,"General Freight - Machinery, Large Objects - Grain, Feed, Hay - ",Auth. For Hire - 
JIMMY T GLANTON            ,Trucking Companies Company                        ,"1536 COLUMBIA ROADABBEVILLE, AL   36310                    ","1536 COLUMBIA ROADABBEVILLE, AL   36310                    ",(334) 575-5042,,Active,2006814,,None,Carrier,JIMMY T GLANTON,14-MAR-10,1,"1
",Intrastate Non-Hazmat,No,2015,10-AUG-16,50000,"Logs, Poles, Beams, Lumber - Grain, Feed, Hay - ",Exempt For Hire - 
JMK TRANSPORTATION LLC            ,Trucking Companies Company                        ,110 NORTH BRYANT STREETABBEVILLE AL 36310                    ,"110 NORTH BRYANT STREETABBEVILLE, AL 36310                    ",(334) 585-2745,(888) 364-1988,,1567888,MC-581077,None,Carrier,JMK TRANSPORTATION LLC,19-OCT-06,1,"1
",Interstate,No,2019,29-NOV-20,900900,,
JO BAILEY COCHRAN            ,Trucking Companies Company                        ,449 LAKESHORE DRIVEABBEVILLE AL 36310                    ,"449 LAKESHORE DRIVE,Abbeville, AL, 36310                    ",(540) 896-8445,(334) 585-9180,,1161077,MC-595506,None,Carrier,JO BAILEY COCHRAN,,,,,,,,,,
JOEY CHITTY            ,Trucking Companies Company                        ,"3553 HWY 10 EABBEVILLE, AL   36310                    ","3553 HWY 10 EABBEVILLE, AL   36310                    ",(334) 726-3593,,Active,1068402,,None,Carrier,JOEY CHITTY,04-NOV-02,1,"1
",Interstate,No,2018,16-JUN-20,75769,"Logs, Poles, Beams, Lumber - ",Private(Property) - 
JOEY MOATES DISTRIBUTING INC            ,Trucking Companies Company                        ,"459 GALAXIE DR NABBEVILLE, AL   36310-7845                    ","459 GALAXIE DR NABBEVILLE, AL   36310-7845                    ",(334) 585-3363,,Active,2900977,,None,Carrier,JOEY MOATES DISTRIBUTING INC,16-JUN-16,1,"1
",Interstate,No,2019,05-FEB-19,1000,LITTLE DEBBIE CO - ,Private(Property) - 
JOHN RICHARDS JR            ,Trucking Companies Company                        ,3784 COUNTY ROAD 57 NORTHABBEVILLE AL 36310                    ,"3784 COUNTY ROAD 57 NORTH,Abbeville, AL, 36310                    ",(334) 585-5821,,,1738947,MC-636880,None,Carrier,JOHN RICHARDS JR,,,,,,,,,,
JONES CONCRETE FINISHING LLC            ,Trucking Companies Company                        ,"113 E ALABAMA STABBEVILLE, AL   36310                    ","113 E ALABAMA STABBEVILLE, AL   36310                    ",,,Active,1575866,,None,Carrier,JONES CONCRETE FINISHING LLC,12-NOV-06,3,"2
",Intrastate Non-Hazmat,No,2005,12-NOV-06,70000,Construction - CONCRETE TOOLS - ,Auth. For Hire - Private(Property) - 
JOSEPH I KLESS            ,Trucking Companies Company                        ,292 COUNTY ROAD 278 ABBEVILLE AL 36310-6584                    ,"292 COUNTY ROAD 278ABBEVILLE, AL   36310-6584                    ",,,Authorized For Property,1242958,MC-986281,None,Carrier,JOSEPH I KLESS,03-MAY-04,1,"1
",Interstate,No,2015,17-JUN-19,20000,Motor Vehicles - ,Auth. For Hire - Private(Property) - 
L K B TRUCKING LLC            ,Trucking Companies Company                        ,101 JULIA DRABBEVILLE AL 36310                    ,"101 JULIA DRABBEVILLE, AL   36310                    ",(334) 796-6263,(334) 699-8383,Authorized For Property,884994,MC-386045,None,Carrier,L K B TRUCKING LLC,06-JUN-00,1,"1
",Interstate,No,2017,08-MAY-18,1,"General Freight - Metal: sheets, coils, rolls - Logs, Poles, Beams, Lumber - Building Materials - ",Auth. For Hire - 
LEONARD GRUBBS JR            ,Trucking Companies Company                        ,664 FISHERMAN CUTTOFFABBEVILLE AL 36310                    ,"664 FISHERMAN CUTTOFF,Abbeville, AL, 36310                    ",(334) 585-6891,,,1473284,MC-587511,None,Carrier,LEONARD GRUBBS JR,,,,,,,,,,
